Service_name,Service_url,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Google_Reviews,Service_Type
Behavioral Health Division (BHD) (Chinatown Service Center (CSC)),https://www.auntbertha.com//chinatown-service-center-%2528csc%2529--los-angeles-ca--behavioral-health-division-%2528bhd%2529/5023816127873024?postal=92620,"['counseling', 'in-home support', 'anger management', 'family counseling', 'individual counseling', 'navigating the system', 'one-on-one support', 'parenting education']",,"['all ages', 'immigrants', 'refugees', 'families', 'depression']",213-808-1792,http://www.cscla.org/behavioral,"320 South Garfield Avenue, Alhambra, CA 91801","https://www.google.com/maps/?q=320+South+Garfield+Avenue,+Alhambra,+CA+91801/",['Must have Medi-Cal and MediCare.'],Not specified,"Chinatown Service Center’s Behavioral Health Division (BHD) is committed to provide professional counseling and case management services with cultural and language sensitivity.BHD provides mental health services by Licensed Clinical Social Workers (LCSW), Licensed Marriage and Family Therapists (LMFT), registered MSW and MFT interns.Counseling services for those who do not qualify under insurance, HWLA or DCFS funding are provided by a sliding fee scale based on income level and family size.Counseling: Service is offered on a walk-in basis or through referrals in conjunction with patient referrals from the health clinics addressing depression, medication management, dual diagnosis and substance abuse issues.o  Individual counselingo  Marital counselingo  Family counselingo  Group counselingo  Parenting class - Certified to meet the requirement of DCFS for parents who are fulfilling court orders.In-Home Services and Parent Education: Family Preservation, Prevention and Aftercare, and CAPIT are LA County Department of Children and Family Services funded programs. Services include:o  In-home serviceso  Case managemento  Assist parents in understanding the developmental stages children go through, as well as appropriate boundary setting and discipline techniques.Domestic Violence Counselingo  Domestic Violence/ Anger management class for perpetrators.Los Angeles County Probation Department approved, accept court-ordered cases.o  Counseling for victim/ Referral to shelters",['English'],Reduced Cost,False,https://www.facebook.com/cscla.org/,https://www.twitter.com/@cscla_info,"This program covers residents of the following counties: Los Angeles County, CA and Orange County, CA.",34.0920385,-118.1243538,91801.0,False,11:30AM – 20:00PM,11:30AM – 20:00PM,11:30AM – 20:00PM,11:30AM – 20:00PM,11:30AM – 20:00PM,Closed,Closed,,Shelter
Shelter Network (Mercy House),https://www.auntbertha.com//mercy-house--santa-ana-ca--shelter-network/5164714503962624?postal=92620,['temporary shelter'],['navigating the system'],"['adults 18+', 'individuals', 'homeless', 'near homeless']",211,https://www.mercyhouse.net/programs,,,['This program serves individuals who are homeless OR near homeless.'],available,"Mercy House operates a complete system of care designed to meet the needs of homeless and at-risk populations in every stage of their struggle by providing temporary shelter and support services to meet the needs of individuals in need. This programs is designed with understanding of homeless services across Orange, Riverside, Los Angeles, Kern, and Ventura Counties in California and Maricopa County, Arizona. This program provides:- Temporary shelterAdditional services include:- Resource navigation servicesPlease note, services are offered through a coordinated entry point. Contact 211 to initiate care.",['English'],Free,True,https://www.facebook.com/MercyHouseLC,https://www.twitter.com/@MercyHouseLC,"This program covers residents of the following counties: Maricopa County, AZ, Kern County, CA, Los Angeles County, CA, Orange County, CA, Riverside County, CA and Ventura County, CA.",,,,True,,,,,,,,,Shelter
Emergency Shelter (Human Options),https://www.auntbertha.com//human-options--santa-ana-ca--emergency-shelter/5914866535628800?postal=92620,"['temporary shelter', 'immediate safety', 'help escape violence']","['group therapy', 'individual counseling', 'case management', 'advocacy & legal aid']","['all ages', 'children', 'female', 'individuals', 'families', 'domestic violence survivors', 'in crisis', 'emergency']",877-854-3594,http://humanoptions.org/services/?v=sd-tab-emergency-shelter,,,[],available,"Human Options' Emergency Shelter provides 24/7 services to any individual or family in a domestic violence situation seeking shelter.This program provides:- Temporary shelterClients may receive:- Individual counseling- Group counseling- Case management- Legal advocacy - Children's program Once at the shelter, victims are offered a comprehensive array of services designed to help them in establishing an independent, safe and secure life apart from their abuser.",['English'],Free,True,https://www.facebook.com/humanoptions,https://www.twitter.com/@HumanOptions,"This program covers residents of the following counties: Orange County, CA.",,,,True,,,,,,,,,Shelter
Recuperative Care (Illumination Foundation (IF)),https://www.auntbertha.com//illumination-foundation-%2528if%2529--orange-ca--recuperative-care/5078108084109312?postal=92620,"['temporary shelter', 'prevent & treat']","['meals', 'help find housing', 'transportation', 'case management']","['adults', 'young adults', 'teens', 'children', 'seniors', 'undocumented', 'limited mobility', 'post-treatment', 'individuals', 'homeless']",949-273-0555,https://ifrecuperativecare.com/how-the-program-works/,,,"['Must be referred to the program by a medical or mental health hospital.', 'Must be a homeless patient being discharged from a medical or mental health facility, and must be able to perform their activities of daily living (ADLs) without any assistance.']",available,"The Recuperative Care Program offers homeless patients a safe play to stay and recover after being discharged from the hospital in a clean, safe, and supportive shelter environment. This program seeks to end homelessness through medical stabilization of clients, crucial wraparound services, client-centered education, and housing options.This program provides:- Temporary shelterShelter services include: - Meals- Intensive case management from Medical Coordinators and Case managers - Transportation to social, medical, and mental health appointments.The Recuperative Care Program is not open to the public. All clients must be homeless and referred to the program by a medical or mental health hospital. Ask your hospital discharge planner about Illumination Foundation Recuperative Care when discussing your discharge plan.",['English'],Free,True,https://www.facebook.com/ifhomeless/,https://www.twitter.com/@IFhomeless,"This program covers residents of the following counties: Orange County, CA.",,,,False,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,Closed,Closed,,Shelter
Rescued and Restored Housing (Grandma’s House of Hope),https://www.auntbertha.com//grandmas-house-of-hope--garden-grove-ca--rescued-and-restored-housing/6544370966724608?postal=92620,"['temporary shelter', 'safe housing', 'short-term housing']","['emergency food', 'clothing', 'counseling', 'group therapy', 'individual counseling', 'navigating the system', 'case management', 'mentoring', 'daily life skills']","['adults 18+', 'female', 'lgbtqia+', 'male', 'individuals', 'families', 'with children', 'homeless', 'low-income']",714-455-9528,https://www.grandmashouseofhope.org/housing,,,"['This program helps people who are older than 17 years old.', ""Program is for both women and men (unaccompanied adults only). Men's program is REFERRAL BASED ONLY."", 'This program serves at-risk children and their families, and unhoused adults.']",available,"Grandma's House of Hope provides safe, confidential emergency and transitional shelter/housing for at-risk children and their families, and restorative services for unhoused adults, create stronger, more confident, and autonomous individuals—with the goal of stable permanent housing.This program provides:- Warm homes for emergency, transitional, and bridge housing- Physical resources like food, and clothing- Case management- Housing navigation- Group and individual counseling- Career mentorship- House meetings to foster community- Life-skills workshops in areas like meal prep, cleaning, fixing, budgeting, medication management",['English'],Free,True,https://www.facebook.com/GrandmasHouseofHope,https://www.twitter.com/@GmasHouseOfHope,"This program covers residents of the following counties: Orange County, CA.",,,,False,12:00PM – 20:00PM,12:00PM – 20:00PM,12:00PM – 20:00PM,12:00PM – 20:00PM,12:00PM – 20:00PM,Closed,Closed,,Shelter
Bridge Housing (Radiant Futures),https://www.auntbertha.com//radiant-futures--fullerton-ca--bridge-housing/5279806390272000?postal=92620,"['temporary shelter', 'immediate safety', 'long-term housing', 'short-term housing']","['meals', 'help find housing', 'clothing', 'personal care items', 'counseling', 'help fill out forms', 'case management', 'one-on-one support', 'advocacy & legal aid']","['adults 18+', 'individuals', 'families', 'with children', 'trauma survivors', 'domestic violence survivors', 'emergency']",877-531-5522,https://radiantfutures.org/residential/,,,['This program helps people who are older than 17 years old.'],available,"Radiant Futures Bridge Housing is the largest residential program in Orange County for survivors of domestic violence and human trafficking. This program provides:- Temporary shelterResidents have access to services including:- Case management services- Food, clothing, toiletries, and other basic needs during stay- Group, individual, and family therapeutic services- Help find housing- Housing advocates- Legal advocatesSurvivors’ pets are able to join their owners in shelter, either sharing a living space or staying in an insulated outdoor kennel. They also offer an infant/toddler program that promotes social skill development, motor skill development and proper nutrition.","['English', 'Spanish']",Free,True,https://www.facebook.com/RadiantFutures,,"This program covers residents of the following counties: Orange County, CA.",,,,True,,,,,,,,,Shelter
"Shelters for Victims of Domestic Violence, Abuse and Human Trafficking (1736 Family Crisis Center)",https://www.auntbertha.com//1736-family-crisis-center--torrance-ca--shelters-for-victims-of-domestic-violence%252C-abuse-and-human-trafficking/5159839464423424?postal=92620,"['temporary shelter', 'help escape violence', 'safe housing', 'case management']","['meals', 'home goods', 'personal care items', 'personal hygiene', 'group therapy', 'skills & training']","['all ages', 'pregnant', 'with children', 'limited english', 'domestic violence survivors', 'emergency']",213-745-6434,https://www.1736fcc.org/programs/residential-programs-dv-human-trafficking,"21707 Hawthorne Boulevard, Torrance, CA 90503","https://www.google.com/maps/?q=21707+Hawthorne+Boulevard,+Torrance,+CA+90503/",['Serves mothers and their children (ages birth through 17) fleeing from domestic violence.'],available,"1736 Family Crisis Center offers four confidentially-located domestic violence/human trafficking shelters provide safety and refuge for survivors and their children (ages birth through 17) while staff help them to develop plans for safe and stable futures.This program provides:- Transitional Shelter- Case management- Counseling- Support groups in English and Spanish- Job development and Placement- Legal help- Life skills training- Financial literacy- Parenting education- Referrals for free medical and access to other need based services24-hours a day, every day they will take in those needing shelter.","['English', 'Spanish']",Free,True,,,"This program covers residents of the following counties: Los Angeles County, CA, Orange County, CA, Riverside County, CA, San Bernardino County, CA and Ventura County, CA.",33.8305456,-118.3529484,90503.0,False,12:00PM – 20:00PM,12:00PM – 20:00PM,12:00PM – 20:00PM,12:00PM – 20:00PM,12:00PM – 20:00PM,Closed,Closed,,Shelter
Homeless Veterans Initiative (Disabled American Veterans (DAV)),https://www.auntbertha.com//disabled-american-veterans-%2528dav%2529--cold-spring-ky--homeless-veterans-initiative/6359041064304640?postal=92620,"['temporary shelter', 'government benefits']",,['veterans'],877-426-2838,https://www.dav.org/get-help-now/veteran-topics-resources/homeless-veterans-assistance/,,,['Serves homeless veterans.'],available,"The DAV Homeless Veterans Initiative, supported by DAV’s Charitable Service Trust and Columbia Trust, promotes the development of supportive housing and necessary services to assist homeless veterans in becoming productive, self-sufficient members of society. Our goal is to establish a partnership between the DAV and Federal, state, county and local governments to develop programs to assist homeless veterans in becoming self-sufficient. Service: -counsel individuals on the many VA benefits for which they may be entitled. If you or someone you know is a homeless veteran in need of assistance, please contact us.",['English'],Free,True,https://www.facebook.com/DAV,https://www.twitter.com/@DAVHQ,This program covers residents of All US states and territories.,,,,False,08:00AM – 17:00PM,08:00AM – 17:00PM,08:00AM – 17:00PM,08:00AM – 17:00PM,08:00AM – 17:00PM,Closed,Closed,,Shelter
JFS Hope - Assistance for Domestic Violence Survivors (Jewish Family Service of Los Angeles (JFSLA)),https://www.auntbertha.com//jewish-family-service-of-los-angeles-%2528jfsla%2529--los-angeles-ca--jfs-hope---assistance-for-domestic-violence-survivors/5415458811412480?postal=92620,"['temporary shelter', 'immediate safety', 'short-term housing', 'navigating the system', 'case management', 'support network', 'counseling', 'help hotlines', 'support groups', 'virtual support', 'more education', 'advocacy & legal aid']",,"['all ages', 'individuals', 'families', 'domestic violence survivors', 'in crisis', 'emergency']",818-505-0900,https://www.jfsla.org/our-services/domestic-violence/,,,['This program serves domestic violence survivors.'],available,"Jewish Family Service of Los Angeles (JFSLA) offers assistance and crisis services to support survivors of domestic violence.This program provides:- Two 24-hour crisis lines- Domestic Violence Shelter- Domestic Violence Counseling & SupportAll shelter residency requests, counseling center appointments, information, and referrals are handled via the 24-hour crisis lines: 818-505-0900 or 323-681-2626.","['English', 'Spanish']",Free,True,https://www.facebook.com/JFSLA,https://www.twitter.com/@jfsla,"This program covers residents of the following counties: Los Angeles County, CA, Orange County, CA, Riverside County, CA, San Bernardino County, CA and Ventura County, CA.",,,,False,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,Closed,Closed,,Shelter
Emergency Youth Shelter (1736 Family Crisis Center),https://www.auntbertha.com//1736-family-crisis-center--los-angeles-ca--emergency-youth-shelter/4816089525518336?postal=92620,"['temporary shelter', 'immediate safety']","['meals', 'home goods', 'personal care items', 'individual counseling']","['teens', 'children', 'homeless', 'runaways', 'emergency']",310-379-3620,https://www.1736fcc.org/programs/residential-programs-dv-human-trafficking,,,['This program helps people who are 10 to 17 years old.'],available,"Emergency Youth Shelter Program provides runaway and homeless boys and girls ages 10 through 17 for a shelter stay of up to two weeks. This program provides:- Emergency shelterOther assistance includes:- Food & Clothing- Individual and group counseling- Medical services- Legal help and long-term safety plansAfter a participant graduates from the Youth Shelter, their goal is to make sure that the youth exit into safe, long-term housing, whether that is reunification with their parents or another appropriate arrangement. A six-month aftercare follow-up period is also in place so that staff can stay in touch to provide whatever support a they might need to stay on track.",['English'],Free,True,https://www.facebook.com/1736FamilyCrisisCenter/,https://www.twitter.com/@1736fcc,"This program covers residents of the following counties: Los Angeles County, CA, Orange County, CA, Riverside County, CA, San Bernardino County, CA and Ventura County, CA.",,,,True,,,,,,,,,Shelter
"Metanoia Refuge (Metanoia, Inc.)",https://www.auntbertha.com//metanoia%252C-inc.--zachary-la--metanoia-refuge/5811770958675968?postal=92620,"['temporary shelter', 'immediate safety']","['addiction & recovery', 'dental care', 'medical care', 'mental health care', 'medications for mental health', 'navigating the system', 'spiritual support', 'alternative education', 'skills & training']","['teens', 'children', 'female', 'pregnant', 'with children', 'trauma survivors', 'abuse or neglect survivors', 'human trafficking survivors']",,https://www.metanoia-inc.org/services,,,"['This program serves female adolescent victims of human trafficking.', 'Must not be HIV-positive.', 'This program helps people who are 11 to 17 years old.']",available,"Metanoia offers a place of refuge to female adolescent victims of human trafficking, in which to heal physically and mentally. The program provides girls aged 11-17 with mental, physical, and spiritual health, instruction in academics, life skills, and job training. Once girls reach 18, they can decide whether or not they would like to continue on with the program for additional time.This program provides:- Residential recovery housing Additional services include:- Academic assessments and individualized appropriate curriculum- Individual and group therapy (mental health, substance abuse, equine, canine)- Life skills training- Spiritual guidance (religious activities not required)- Community volunteer opportunities- Health care (medical and dental)- Psychiatric assessment and management of medication- Field Trips- Art, sewing, cooking skills, creative writing, dance, sports, and gardening activities- Employment skills introduction and transitional planningCase managers, service providers, legal guardians, and law enforcement referrals may be made on behalf of the youth. Metanoia assessment forms are required to be completed for consideration to the program. Duration of the stay is as long as needed, until age 18 or 21 with extended foster care. Emergency placement is not provided.Clients across the country are offered free transportation to get to the facility.","['English', 'French', 'Italian', 'Malayalam', 'Spanish', 'Tagalog']",Free,True,,,"This program covers residents of the following states: AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV and WY.",,,,False,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,Closed,Closed,,Shelter
Housing Services for Homeless Families and At-Risk Families (Family Solutions Collaborative OC),https://www.auntbertha.com//family-solutions-collaborative-oc--santa-ana-ca--housing-services-for-homeless-families-and-at-risk-families/4970850761310208?postal=92620,"['help pay for housing', 'temporary shelter', 'help find housing', 'housing vouchers', 'navigating the system']",,"['all ages', 'pregnant', 'families', 'with children', 'homeless', 'near homeless']",,https://www.familysolutionscollaborative.org/help/,,,"['Must be staying in Orange County, CA.', 'Must have at least one minor child with you aged 17 years or younger OR be currently pregnant.', 'Must be homeless OR at-risk of becoming homeless.']",available,"As the family homeless response system in Orange County, the  Family Solutions Collaborative provides a streamlined, equitable and timely process for families currently experiencing homelessness or at risk of becoming homeless to be connected to the services they need to a family Access Point in their immediate geographical area. Use the Family Service Request Form to get connected, can be found here: https://www.familysolutionscollaborative.org/help/ This program provides:- Connection to family emergency shelter- Connection to a family Access Point to provide support and navigation services to find housing resources- Access to the Orange County Family Coordinated Entry System through the family Access PointFamilies may be eligible to receive the following Housing services:- Rental Assistance- Referrals to Shelter- Navigation and referrals to Housing Programs- Referrals to other supportive services (food pantries, mainstream benefits, healthcare, etc.)Please complete the confidential online Family Service Request and you will be contacted within two business days. Forms may be completed by someone working to support/assist the family (Family Resource Center, Public Health Nurse, Social Service Provider, family/friend, with their permission). https://www.familysolutionscollaborative.org/help/Families are eligible who are homeless (living in their car or on the street, in a shed/storage unit or other place not meant for human habitation, or are staying in a motel that is being paid for by a third party such as a Church or social service agency).","['English', 'Spanish', 'Vietnamese']",Free,True,https://www.facebook.com/familysolutionscollaborative/,,"This program covers residents of the following counties: Orange County, CA.",,,,False,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,Closed,Closed,,Shelter
Financial Assistance for Military Families (American Red Cross),https://www.auntbertha.com//american-red-cross--washington-dc--financial-assistance-for-military-families/5931501920976896?postal=92620,"['emergency payments', 'emergency food', 'temporary shelter', 'burial & funeral help', 'financial assistance']",,"['adults 18+', 'active duty', 'national guard', 'veterans', 'families', 'spouses', 'emergency']",877-272-7337,https://www.redcross.org/get-help/military-families/financial-assistance.html,,,"['Eligible for financial assistance if you are: An active duty service member OR', 'A member of an activated National Guard or Reserve unit OR', 'An immediate family member of a service member in the above two categories OR', 'A military retiree or spouse/widow(er) of a retiree.']",available,"The American Red Cross works in partnership with military aid societies to provide quality, reliable financial assistance to eligible applicants 24/7/365 in times of hardship.This program provides: - Financial assistance for emergency needsAssistance can include funds for emergency travel, burial of a loved one, emergency food and shelter, etc. Red Cross helps to facilitate the application process, the military aid society determines eligibility and the specific financial assistance package that is offered.You can submit a request online or call the American Red Cross Hero Care Center.  When calliing, be sure to have the following information ready to provide the representative:- Legal name- Rank or rating- Social Security number- Date of birth- Branch of service (Army, Navy, Air Force, Marines, Coast Guard)- Military unit address- Information about the deployed unit and home base unit (for deployed service members only)",['English'],Free,True,https://www.facebook.com/redcross,https://www.twitter.com/@redcross,"This program covers residents of the following states: AK, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV and WY.",,,,True,,,,,,,,,Shelter
Emergency Maternity Shelter (EMS) (Casa Teresa),https://www.auntbertha.com//casa-teresa--orange-ca--emergency-maternity-shelter-%2528ems%2529/4862818456698880?postal=92620,"['temporary shelter', 'safe housing', 'residential housing', 'short-term housing']","['navigating the system', 'case management', 'one-on-one support']","['adults 18+', 'female', 'pregnant', 'individuals', 'families', 'with children', 'homeless', 'mothers', 'emergency', 'all mental health', 'substance dependency']",714-538-4860,https://casateresa.org/available-programs/,,,"['This program is for pregnant women with or without children.', 'This program helps people who are older than 17 years old.']",available,"Casa Teresa's Emergency Maternity Shelter (EMS) Program provides emergency shelter for pregnant women who are homeless, struggling with addiction, or having mental health challenges. This program is designed to stabilize the most vulnerable women in the community so they can begin to heal and prepare for motherhood. This program provides: - Emergency shelter - Short-term housing This program also includes two apartments for pregnant women with up to three children.",['English'],Free,True,,https://www.twitter.com/@CasaTeresa,"This program covers residents of the following counties: Orange County, CA.",,,,False,11:30AM – 19:30PM,11:30AM – 19:30PM,11:30AM – 19:30PM,11:30AM – 19:30PM,11:30AM – 19:30PM,Closed,Closed,,Shelter
Emergency Shelter Program (Family Promise of Orange County),https://www.auntbertha.com//family-promise-of-orange-county--orange-ca--emergency-shelter-program/4821620795375616?postal=92620,['temporary shelter'],"['meals', 'family counseling', 'individual counseling', 'navigating the system', 'case management', 'counseling', 'financial education', 'help find work']","['all ages', 'families', 'with children', 'homeless', 'emergency']",714-787-3487,https://www.familypromiseorangecounty.org/emergency-shelter,,,['This program is open to families experiencing homelessness.'],available,"Family Promise of Orange County's Emergency Shelter Program is a community-based program where families experiencing homelessness are able to immediately get off the streets and stay in local congregations while they seek employment and housing. This program provides: - Emergency shelterParticipants are provided with: - Nutritious meals - Case management - Employment counseling - Credit counseling - Financial literacy education - Family and individual therapy To apply for emergency shelter, please complete the application form on our website.",['English'],Free,True,https://www.facebook.com/ocfamilypromise,https://www.twitter.com/@ocfamilypromise,"This program covers residents of the following counties: Orange County, CA.",,,,False,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,Closed,Closed,,Shelter
Behavioral Health Services (Homeless Outreach Program Integrated Care System (HOPICS)),https://www.auntbertha.com//homeless-outreach-program-integrated-care-system-%2528hopics%2529--los-angeles-ca--behavioral-health-services/5321862246039552?postal=92620,"['temporary shelter', 'help find housing', 'substance abuse counseling', 'counseling', 'mental health care']",,"['homeless', 'low-income', 'all ages', 'all mental health']",,https://www.hopics.org/,"5849 Crocker St, Los Angeles, CA 90003","https://www.google.com/maps/?q=5849+Crocker+St,+Los+Angeles,+CA+90003/",[],temporarily closed,"E6 Outreach Multi-disciplinary Teams work directly with the unhoused population. We provide supportive services, including Medical treatment, connection to primary care, income assistance, mental health service, crisis housing etc.",['English'],Free,True,https://www.facebook.com/SSGHOPICS,https://www.twitter.com/@ssghopics,"This program covers residents of the following counties: Los Angeles County, CA and Orange County, CA.",33.9882561,-118.2686678,90003.0,False,,,,,,,,,Shelter
Immediate Essential Services (Build Futures),https://www.auntbertha.com//build-futures--huntington-beach-ca--immediate-essential-services/5983755011096576?postal=92620,"['food pantry', 'temporary shelter', 'help find housing', 'transportation', 'personal hygiene', 'skills & training']",,"['young adults', 'homeless']",,https://www.buildfutures.org/,,,"['This program helps people who are 18 to 24 years old.', 'This program helps homeless youth.']",available,Build Futures offers Immediate Essential Services for homeless youth in Orange County aged 18 to 24 who are in need of support to transition from homelessness to independence. We offer:- Immediate housing- Food- Transportation- Hygiene - Job training,['English'],Free,True,https://www.facebook.com/BuildFutures,https://www.twitter.com/@buildfutures,"This program covers residents of the following counties: Orange County, CA.",,,,False,12:00PM – 20:00PM,Closed,12:00PM – 20:00PM,Closed,12:00PM – 20:00PM,Closed,Closed,,Shelter
Transitional Housing (Precious Life Shelter),https://www.auntbertha.com//precious-life-shelter--los-alamitos-ca--transitional-housing/5767553317601280?postal=92620,"['temporary shelter', 'residential housing', 'safe housing', 'short-term housing']","['health education', 'daily life skills', 'maternity care', 'postnatal care', 'navigating the system', 'case management', 'mentoring', 'one-on-one support', '12-step', 'help find work']","['adults 18+', 'female', 'pregnant', 'with children', 'homeless']",562-431-5025,https://www.preciouslifeshelter.org/transitional,,,"['This program helps people who are older than 17 years old.', 'This program helps pregnant women.', 'Women must agree to be sober or off drugs at intake.', 'Women must be motivated to be committed to a structured program.']",available,"Precious Life Shelter's Transitional Housing program serves single pregnant women who are facing an immediate financial, physical, or emotional emergency which is threatens her with loss of housing, food, or necessities for daily living. This program provides: - Short-term housing Residents are provided with: - Case management (required)- Birth coach (if needed)- Health and education classes- Family reunification after birth (if needed) - Mentor program (required)- Independent living skills - Co-dependency courses- Budgeting program- Perinatal programs - 12-step programs - On-site childcare for mothers who work, go to school, or are actively looking for work",['English'],Reduced Cost,True,https://www.facebook.com/PreciousLifeShelter/,,"This program covers residents of the following counties: Orange County, CA.",,,,False,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,11:00AM – 20:00PM,Closed,Closed,,Shelter
