Service_name,Service_url,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Google_Rating,Service_type
SKY Resilience Training (HFC),https://www.auntbertha.com//project-welcome-home-troops--washington-dc--sky-resilience-training/5009237452390400?postal=19131,"['health education', 'understand mental health']",,"['adults 18+', 'active duty', 'national guard', 'veterans', 'individuals', 'families']",202-642-4248,https://projectwelcomehometroops.org/power-breath-meditation-workshop/,,,"['This program serves veterans, active duty military members, first responders and their immediate family.', 'This program helps people who are older than 17 years old.']",available,"The SKY Resilience Training provides breath-based tools that decrease the stress, anxiety and sleep problems that many veterans experience. Course participants notice an improvement in relationships and an enhanced sense of mental clarity and well-beingThis program provides:- Health EducationSKY Resilience Training is offered complimentary to veterans, active duty military members, first responders and their immediate family over the age of 18 years.",['English'],Free,TRUE,https://www.facebook.com/ProjectWelcomeHomeTroops,,"This program covers residents of the following states: WA, WI, WV, FL, WY, NH, NJ, NM, NC, ND, NE, NY, RI, NV, CO, CA, GA, CT, OK, OH, KS, SC, KY, OR, SD, DE, DC, HI, TX, LA, TN, PA, VA, AK, AL, AR, VT, IL, IN, IA, AZ, ID, ME, MD, MA, UT, MO, MN, MI, MT and MS.",,,,FALSE,Closed,Closed,6:30PM - 9:00PM,6:30PM - 9:00PM,6:30PM - 9:00PM,10:00AM - 1:00PM,10:00AM - 1:00PM,0/5,Mental Health
Online Support Groups (HFC),https://www.auntbertha.com//hfc--beverly-hills-ca--online-support-groups/6378398753619968?postal=19131,"['bereavement', 'support groups']",,"['all ages', 'alzheimers', 'individuals', 'families', 'caregivers']",203-883-1380,https://www.wearehfc.org/caregivers,,,"['Currently living at home with Alzheimer’s disease or related Dementia.', 'Caregiver(s) is facing financial and emotional hardships due to the unique challenges of Alzheimer’s or related Dementia.', 'Must reside in the United States or Canada.']",available,HFC offers online support groups that are free and designed to help people who are navigating their way through any stage of an Alzheimer’s disease diagnosis.This program provides:- Support GroupsAn enrollment form is available on HFC's website.,"['English', 'Spanish']",Free,TRUE,https://www.facebook.com/WeAreHFC,https://www.twitter.com/@WeAreHFC,"This program covers residents of the following states: AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV and WY.",,,,FALSE,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,0/5,Mental Health
Camp Sunshine (Camp Sunshine),https://www.auntbertha.com//camp-sunshine--casco-oh--camp-sunshine/5638247092846592?postal=19131,"['bereavement', 'day camp', 'recreation', 'relief for caregivers', 'support network']",['bereavement'],"['teens', 'children', 'grieving', 'recently diagnosed', 'on-treatment', 'post-treatment', 'facing end of life', 'cancer', 'terminal illness', 'chronic illness', 'families', 'caregivers', 'parents', 'young adult cancer survivors']",207-655-3800,https://www.campsunshine.org/,,,"['Families must have a child with any diagnosis served by Camp Sunshine.', 'This program helps people who are younger than 19 years old.']",available,"Camp Sunshine provides respite, support, joy, and hope to children with life-threatening illnesses and their immediate families from around the world through the various stages of their journeys. Camp Sunshine's program is offered year-round and has the distinction of having been designed to serve the entire family in a retreat model. The program is free of charge to families and includes on-site medical and psychosocial support. Bereavement sessions are also offered for families who have experienced the death of a child from a supported illness.Our services provide:- Respite and support for families- On-site medical and psychosocial support- Bereavement sessions",['English'],Free,TRUE,https://www.facebook.com/campsunshine1984,https://www.twitter.com/@GoCampSunshine,This program covers residents of All 50 states.,,,,FALSE,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,Closed,Closed,4.7/5,Mental Health
Warrior Service Dog Training (TADSAW - Train a Dog Save a Warrior),https://www.auntbertha.com//tadsaw--train-a-dog-save-a-warrior--san-antonio-tx--warrior-service-dog-training/6038675499253760?postal=19131,['support & service animals'],,"['adults 18+', 'active duty', 'veterans', 'trauma survivors', 'brain injury', 'ptsd']",210-643-2901,http://tadsaw.org/how-tadsaw-works/,,,"['Serves wounded Veteran ServiceMembers (Active Duty, Retired, Discharged), surviving with Military Induced Anxiety Depression Syndrome (MIADS), Post Traumatic Stress Disorder (PTSD), Military Sexual Trauma () and/or Traumatic Brain Injury (TBI).']",available,"The Train a Dog Save a Warrior  (TADSAW) program serves the veteran, the family and the community, by providing the warrior with a K-9 rescue ‘Battle Buddy’ and the training and tools needed to become an accredited TADSAW Warrior/Service Dog Team at no charge to the Veteran or the family.Service provided:- Service dog training based on a 15 to 25 week course of Positive Reinforced trainingTADSAW combines the disciplines of occupational, physical, psychopharmaceutical and spiritual therapy in a single program in order to restore and improve the Veteran’s quality of life.  Contact us for additional information or to request an application. After your application has been received, the TADSAW trainer will evaluate your personal dog for viability, or an appropriate candidate from a shelter will be selected if you do not have a dog. We will try to locate trainers within a 60-90 minute driving radius of your home, if not closer.",['English'],Free,TRUE,,,This program covers residents of All 50 states.,,,,TRUE,,,,,,,,3.5/5,Mental Health
Health and Wellness Coaching (Stand Beside Them),https://www.auntbertha.com//stand-beside-them--sunny-isles-beach-fl--health-and-wellness-coaching/6231496210513920?postal=19131,"['health education', 'nutrition education', 'mental health care', 'mentoring', 'virtual support']","['bereavement', 'spiritual support']","['adults 18+', 'veterans', 'add/adhd', 'grieving', 'families', 'caregivers', 'anxiety', 'ptsd']",212-706-8387,http://standbesidethem.org,,,"['This program helps veterans from Iraq/Afghanistan (post 9/11; OEF, OND, OIF) and their family members and/or caregivers.']",available,"Stand Beside Them's health and wellness coaches use a solution-driven and nonjudgmental approach to focus on external and internal issues that many veterans face. These approaches to issues are with care and understanding to guide positive action for clients.This program provides:- Individual coachingSpecific coaching topics include:- Nutrition and weight-loss- Stress management- Grief - ADHD- Work/family balance- Physical fitness- Spiritual lifeIf distance or transportation poses a problem, coaches are willing and able to coach by Skype or telephone.",['English'],Free,TRUE,https://www.facebook.com/standbesidethem/,https://www.twitter.com/@standbesidethem,"This program covers residents of the following states: AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV and WY.",,,,FALSE,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,Closed,Closed,5.0/5,Mental Health
Women Vets On Point (U.S. VETS - United States Veterans Initiative),https://www.auntbertha.com//u.s.-vets---united-states-veterans-initiative--los-angeles-ca--women-vets-on-point/5016272867950592?postal=19131,"['understand mental health', 'mental health care']",,"['adults', 'young adults', 'teens', 'seniors', 'veterans', 'female']",213-335-5432,https://womenvetsonpoint.org/counseling-case-management/,,,[],available,"Women Vets on Point is an independent, not-for-profit program designed and informed by women veterans to serve critical needs and barriers to mental health care after military service. This program connects women veterans and their families to employment, housing and other resources as well as specialized mental health services for individuals and families.This program provides:- One-on-One Help Navigating the System- Case Management- Understand Mental Health- Help Find Housing- Help Find WorkWomen Vets on Point supports women who have served by finding solutions to their unique needs. Please reach out by phone, email, or via the online chat on the website to connect to services.",['English'],Free,TRUE,https://www.facebook.com/usvetsinc,https://www.twitter.com/@usvetsinc,This program covers residents of All US states and territories.,,,,FALSE,9:00AM - 4:00PM  ,8:00AM - 4:00PM  ,8:00AM - 5:00PM  ,8:00AM - 4:00PM  ,9:00AM - 4:00PM  ,Closed,Closed,5.0/5,Mental Health
Prime Time Sister Circle (The Philadelphia Black Women's Health Alliance),https://www.auntbertha.com//the-philadelphia-black-womens-health-alliance--philadelphia-pa--prime-time-sister-circle/4911548621127680?postal=19131,"['nutrition education', 'exercise & fitness', 'anger management']",,"['adults', 'seniors', 'female', 'individuals', 'african american']",215-225-0394,https://www.pbwha.org/copy-of-pbwha-programs,,,"['This program helps people who are 40 to 75 years old.', 'This program serves African American Females.']",available,"Prime Time Sister Circle is an evidence-based, socially innovative intervention designed to improve the lifestyle of African American women between 40-75. It is a facilitated, culturally relevant component support group for women augmented with experts in the targeted areas.This program provides:- Stress management- Nutrition education- Exercise and fitness",['English'],Free,TRUE,,,"This program covers residents of the following cities: Philadelphia, PA.",,,,FALSE,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,Closed,Closed,5.0/5,Mental Health
Personal Recovery Services (Project HOME),https://www.auntbertha.com//project-home--philadelphia-pa--personal-recovery-services-%2528prs%2529/6496190498603008?postal=19131,"['mental health care', 'one-on-one support']",,"['adults 18+', 'all mental health']",215-235-3110,https://www.projecthome.org/locations/helen-brown-community-center-st-elizabeth%E2%80%99s,,,"['Must choose to participate.', 'Must have presence or history of a serious mental illness', 'Must have impairment(s) in living, learning, working and/or socializing that is a result of mental illness', 'This program helps people who are older than 17 years old.']",available,"Personal Recovery Services (PRS) Program provides services that are commonly known as psychiatric rehabilitation services, which is an evidence-based practice. Our staff assists with:- Developing a specific and individualized plan- One-on-One SupportThe PRS staff member works in relationship with a specific resident, who chooses his or her goals. The emphasis is on personal growth, individual choice, empowerment, and developing strengths and hope that can translate into real success.",['English'],Free,TRUE,https://www.facebook.com/projectHOME/,https://www.twitter.com/@projecthome,"This program covers residents of the following counties: Philadelphia County, PA.",,,,FALSE,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,Closed,Closed,0/5,Mental Health
Virtual Support Groups (Surviving and Thriving),https://www.auntbertha.com//surviving-and-thriving--philadelphia-pa--virtual-support-groups/5315109921619968?postal=19131,"['counseling', 'support groups', 'virtual support']",,"['all ages', 'autism', 'families', 'with children', 'parents']",215-247-5832,https://survivingthriving.com/programs/,,,['This program serves parents of young children with Autism.'],available,Surviving and Thriving provides free virtual support groups for parents of young children with autism.This program provides:- Virtual supportThe virtual groups are held periodically throughout the year. Contact Surviving and Thriving for more information and to pre-register.,['English'],Free,TRUE,https://www.facebook.com/parentingsurvivingthriving,,"This program covers residents of the following counties: Philadelphia County, PA.",,,,FALSE,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,0/5,Mental Health
Counseling (Feast of Justice),https://www.auntbertha.com//feast-of-justice--philadelphia-pa--counseling/6281856067305472?postal=19131,"['mental health care', 'individual counseling', 'virtual support']",,"['anyone in need', 'adults 18+', 'covid19', 'grieving', 'trauma survivors', 'depression', 'anxiety', 'all mental health']",215-305-9824,https://www.feastofjustice.org/copy-of-general-information,,,[],temporarily closed,"In partnership with Thomas Jefferson University, Feast of Justice will begin to offer free telehealth counseling sessions as a way to provide support for stresses and anxieties associated with the coronavirus pandemic. This is a chance to speak with a counselor to help process feelings of grief, worry, and loss, as well as some physical symptoms that are associated with trauma.This program provides:- Virtual counseling If you are interested, please leave a message on the counseling help line: 215-305-9824. The program will connect you with a counselor who can meet with you over a secure phone line or on a secure video call. The counselors can provide up to three sessions free of charge to support you.",['English'],Free,TRUE,https://www.facebook.com/FeastOfJusticePhiladelphia/,,"This program covers residents of the following counties: Philadelphia County, PA.",,,,FALSE,,,,,,,,4.6/5,Mental Health
Operation Home and Healing (Council for Relationships),https://www.auntbertha.com//council-for-relationships-%2528cfr%2529--philadelphia-pa--operation-home-and-healing-%2528ohh%2529/6362058139107328?postal=19131,"['mental health care', 'counseling', 'group therapy', 'family counseling', 'individual counseling']",,"['adults 18+', 'active duty', 'national guard', 'veterans', 'individuals', 'families', 'benefit recipients', 'low-income', 'uninsured', 'spouses', 'trauma survivors', 'ptsd', 'all mental health']",215-382-66801,https://councilforrelationships.org/OHH,,,"['Must be an active service member, veteran, or the family, spouse, or non-married partner of a service member/ veteran.']",available,"Operation Home and Healing provides counseling and services for active service members, veterans, and their families. Specially-trained therapists aim to help veterans and their families heal and become better partners, parents, and family members. OHH offers the following:- Special counseling services from therapists with specialized training in military culture and competency- Therapeutic interactive group programs for active service members, veterans, and military families- Counseling to military families, spouses, and non-married partners with or without the service member/ veteran presentFees are set on a sliding scale based on income, with subsidized services available on a limited basis.To request an appointment, you may call Client Care or submit the Request an Appointment form on our website. After submitting the form, our Client Care coordinators will contact you within two business days to schedule your first appointment.",['English'],Sliding Scale,TRUE,https://www.facebook.com/CouncilforRelationships,https://www.twitter.com/@CFRsince1932,This program covers residents of the following states: NJ and PA.,,,,FALSE,8:00AM - 9:00PM   ,8:00AM - 9:00PM   ,8:00AM - 9:00PM   ,8:00AM - 9:00PM   ,8:00AM - 9:00PM   ,8:00AM - 9:00PM  ,Closed,0/5,Mental Health
Residential Rehabilitation (Horizon House),https://www.auntbertha.com//horizon-house--philadelphia-pa--residential-rehabilitation/4701325693026304?postal=19131,"['safe housing', 'residential housing', 'substance abuse counseling']","['substance abuse counseling', 'daily life skills', 'financial education']","['adults 18+', 'male', 'substance dependency']",215-386-3838,http://www.hhinc.org/behavioral-health-services/residential-treatment/,,,"['Must have a referral from a street outreach program, shelter systems, Safe Haven, or Girard Medical Center’s Behavioral Access Center.', 'Must have Medicare or Medicaid.']",available,"Residential rehabilitation services are all encompassing and include helping individuals establish a stable lifestyle with positive recovery habits, initiate and sustain relationships with others, set achievable educational or vocational goals for economic independence, and secure housing upon discharge. Services are provided (Susquehanna Park I) to support adult men maintain recovery and abstain from using drugs or alcohol. Services offered:- Residential treatment- Rehabilitation services- Daily life skills- Financial educationHorizon House accepts Medicare and Medicaid. Admission to this program is through any of the following referral sources: street outreach programs, shelter systems, Safe Haven, Girard Medical Center’s Behavioral Access Center. For more information please call Community Behavioral Health (CBH). Horizon House also provides residential drug and alcohol treatment services at Susquehanna Park; please call us at 215-765-8051, ext. 149",['English'],Reduced Cost,TRUE,https://www.facebook.com/horizonhouseinc/,,"This program covers residents of the following counties: Philadelphia County, PA.",,,,FALSE,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,Closed,Closed,0/5,Mental Health
School Therapeutic Services (NorthEast Treatment Centers),https://www.auntbertha.com//northeast-treatment-%2528net%2529-centers--philadelphia-pa--school-therapeutic-services/6319828387233792?postal=19131,"['group therapy', 'individual counseling']",,"['children', 'students', 'autism']",215-408-4962,http://netcenters.org/services/behavioral-health/,,,"['Must be a student of Ludlow, Juanita Park Academy (JPA), DeBurgos, Dunbar, Ben Franklin Elementary, or Stearne Elementary School.']",available,NET's School Therapeutic Services provides group and individual therapy as well as individual behavioral support to students within the public or charter school setting. This program provides:- Individual and group therapy,['English'],Reduced Cost,TRUE,https://www.facebook.com/NorthEastTreatmentCenters/,,"This program covers residents of the following counties: Philadelphia County, PA.",,,,FALSE,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,Closed,Closed,0/5,Mental Health
Behavioral Health Rehabilitation Services (BHRS) or Wraparound (NorthEast Treatment Centers),https://www.auntbertha.com//northeast-treatment-%2528net%2529-centers--philadelphia-pa--behavioral-health-rehabilitation-services-%2528bhrs%2529-or-wraparound/6624331837734912?postal=19131,['substance abuse counseling'],,['children'],215-408-4962,http://netcenters.org/services/behavioral-health/#ffs-tabbed-16,,,[],Not specified,"NET's Behavioral Health Rehabilitation Services (BHRS) or “Wraparound” are provided to children whose behavior is seriously impacting their ability to function well in the home, school and community setting.This program provides:- Individualized consultations and assessment- Mobile therapy- Goal-directed one-to-one behavior supportFor more information or to make a referral, call 215-408-4962.",['English'],Not specified,FALSE,https://www.facebook.com/NorthEastTreatmentCenters/,,"This program covers residents of the following counties: Philadelphia County, PA.",,,,FALSE,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,Closed,Closed,0/5,Mental Health
Recovery Services (Guidance for Growing),https://www.auntbertha.com//guidance-for-growing--souderton-pa--recovery-services/5630267736457216?postal=19131,"['addiction & recovery', 'substance abuse counseling', 'daily life skills', 'counseling', 'mental health care', 'group therapy', 'individual counseling', 'mental health evaluation']",,"['adults', 'young adults', 'teens', 'seniors', 'low-income', 'all mental health']",215-421-1634,http://guidanceforgrowing.com/services/recovery/,,,[],available,"Guidance for Growing provides treatment and intervention services for problem gambling, and for alcohol and other drug use. We provide a safe, judgement-free, therapeutic space in which you can explore how your behaviors may be negatively impacting your life, and find your unique path to harm reduction or sobriety.We provide:- Individual counseling- Group counseling- Addiction assessment (alcohol, gambling, and substance abuse)- Intervention- Health educationGuidance for Growing offers a sliding fee scale.",['English'],Sliding Scale,TRUE,,,"This program covers residents of the following counties: Bucks County, PA, Chester County, PA, Delaware County, PA, Montgomery County, PA and Philadelphia County, PA.",,,,FALSE,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,Closed,Closed,4.2/5,Mental Health
Girls Friendly Society (Grace Church and the Incarnation),https://www.auntbertha.com//grace-church-and-the-incarnation--philadelphia-pa--girls-friendly-society/5619785770467328?postal=19131,"['counseling', 'recreation', 'spiritual support']",['support network'],"['young adults', 'teens', 'children', 'female']",215-423-5851,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2F%3Fnext%3Dhttps%253A%252F%252Fm.facebook.com%252FGraceIncarnation%252F%253Fref%253Dpy_c%26refsrc%3Ddeprecated%26ref%3Dpy_c,,,['This program helps people who are 5 to 21 years old.'],available,"This program provides support system aimed at developing the whole person through a program of worship, service to others, study and recreation designed to empower girls and to help them grow mentally, emotionally, physically and spiritually. The program is parish based and open to girls of any race, religion or nationality between the ages of 5 and 21.Services offered:- Counseling- Retreats",['English'],Reduced Cost,TRUE,,,This program covers residents of the following states: PA.,,,,FALSE,Closed,Closed,4:15 PM - 5:15 PM   ,Closed,Closed,Closed,Closed,5.0/5,Mental Health
"Intensive Behavioral Health Services (COMHAR, Inc.)",https://www.auntbertha.com//comhar%252C-inc.--philadelphia-pa--intensive-behavioral-health-services-%2528ibhs%2529/5018988015517696?postal=19131,"['specialized therapy', 'mental health care', 'counseling', 'group therapy', 'navigating the system', 'peer support']",,"['teens', 'children', 'families', 'with children', 'all mental health']",215-427-5750,https://comhar.org/children-and-families/,,,['Must have Medicaid.'],available,"COMHAR's Intensive Behavioral Health Services (IBHS) is designed for young people who are exhibiting more serious emotional and mental health symptoms. Children receive intensive services in the home, school, or community in order to help them reduce or replace problem behaviors with more positive, socially appropriate behaviors. This program provides:- Behavioral health services- Group mobile-therapeutic- Peer and family support - Navigating services and accessing community resources","['English', 'Spanish']",Reduced Cost,TRUE,https://www.facebook.com/comharorg,,"This program covers residents of the following counties: Bucks County, PA, Burlington County, PA, Camden County, PA, Cecil County, PA, Chester County, PA, Delaware County, PA, Gloucester County, PA, Montgomery County, PA, New Castle County, PA, Philadelphia County, PA and Salem County, PA.",,,,FALSE,8:00AM - 4:30PM   ,8:00AM - 4:30PM   ,8:00AM - 4:30PM   ,8:00AM - 4:30PM   ,8:00AM - 4:30PM   ,Closed,Closed,0/5,Mental Health
"Outpatient Medication-Assisted Treatment (COMHAR, Inc,)",https://www.auntbertha.com//comhar%252C-inc.--philadelphia-pa--outpatient-medication-assisted-treatment-%2528mat%2529/5713516069781504?postal=19131,"['addiction & recovery', 'outpatient treatment', 'medications for addiction', 'counseling', 'medication management', 'mental health care', 'group therapy', 'family counseling', 'individual counseling']",,"['adults 18+', 'individuals', 'families', 'all mental health', 'substance dependency', 'dual diagnosis']",215-427-5800,https://www.comhar.org/mental-health-wellness,,,"['Available at no cost for those who are uninsured', 'Must have Medicare or Medical Assistance.']",available,"The COMHAR Outpatient MAT program allows clients with Substance Use Disorders to maintain normal activities and relationships with family, community, workplace or school. 

This program provides:

- Psychiatric Evaluation
- Medication Assisted Treatment for Opioid Use Disorders
- Psychotherapy for Individuals, Groups and Families
- Medication Assessment and Monitoring
- Identification of Need for Other Services
- Referral to Community Resources","['English', 'Spanish']",Reduced Cost,TRUE,,,"This program covers residents of the following cities: Philadelphia, PA.",,,,FALSE,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,Closed,Closed,0/5,Mental Health
High School Health (WES Health System),https://www.auntbertha.com//wes-health-system--philadelphia-pa--high-school-health-%2528specialized-intensive-outpatient%2529/5894251843158016?postal=19131,"['psychiatric emergency services', 'mental health care', 'counseling', 'group therapy', 'family counseling', 'individual counseling', 'mental health evaluation', 'outpatient treatment', 'navigating the system']",,"['adults', 'young adults', 'teens', 'seniors', 'students', 'all mental health']",215-456-2662,https://drwes.org/individuals-families/high-school-health-specialized-intensive-outpatient/,,,['Must be a student or staff member at Frankford High School or South Philadelphia High School.'],available,"High School Health provides specialized intensive outpatient services to students in need of supportive counseling services at Frankford High School and South Philadelphia High School. Emphasizing clinical engagement and cultural competence, the program provides formal services to students and their teachers. Available services include: - Group, individual, and family therapy - Resilience–building interventions - Help in obtaining community resources such as working papers and access to sports programs - Psychiatry appointments, case conferences, and evaluations - Emergency services","['English', 'Spanish']",Free,TRUE,https://www.facebook.com/weshealthsystems,https://www.twitter.com/@WESHealthSystem,"This program covers residents of the following counties: Philadelphia County, PA.",,,,FALSE,8:45 AM - 5:00PM   ,8:45 AM - 5:00PM   ,8:45 AM - 5:00PM   ,8:45 AM - 5:00PM   ,8:45 AM - 5:00PM   ,Closed,Closed,3.0/5,Mental Health
Hospice Care At Home (Vitas Hospice),https://www.auntbertha.com//vitas-hospice--southampton-pa--hospice-care-at-home/4892882585255936?postal=19131,"['medical supplies', 'end-of-life care', 'bereavement', 'hospice', 'in-home support', 'relief for caregivers', 'one-on-one support', 'spiritual support']",,"['seniors', 'facing end of life', 'terminal illness', 'individuals', 'families', 'benefit recipients', 'caregivers']",215-542-3000,https://vitas.com/care-services/hospice-care-at-home,,,['Must have Medicaid or Medicare.'],available,"Hospice is a type of medical care that gives seriously ill patients and their loved ones meaningful time together when the focus of care turns from active treatment to comfort and quality of life near the end of life.Services provided:- End of life care- 24/7 tele-care services- Intensive comfort care- Home medical equipment- Spiritual support- Care transitions- Respite careWe accept Medicare, Medicaid, and private insurance.",['English'],Reduced Cost,TRUE,https://www.facebook.com/VITASHealthcare/,https://www.twitter.com/@VITAS,"This program covers residents of the following counties: Beaver County, PA, Lawrence County, PA, Mercer County, PA, Allegheny County, PA, Washington County, PA, Fayette County, PA, Westmoreland County, PA, Arrong County, PA, Butler County, PA, Berks County, PA, Chester County, PA, Montgomery County, PA, Bucks County, PA, Delaware County, PA and Philadelphia County, PA.",,,,TRUE,,,,,,,,0/5,Mental Health
Office of Addiction Services - Recovery House Initiative (Philadelphia Department of Behavioral Health nad Intellectual disAbility Services),https://www.auntbertha.com//philadelphia-department-of-behavioral-health-and-intellectual-disability-services-%2528dbhids%2529---office-of-addiction-services-%2528oas%2529--philadelphia-pa--office-of-addiction-services---recovery-house-initiative/4805707869454336?postal=19131,"['addiction & recovery', 'residential treatment']",,"['adults 18+', 'substance dependency']",215-546-1200,https://dbhids.org/about/organization/office-of-mental-health/office-of-addiction-services/recovery-house-initiative/,,,"['This program helps people who are older than 17 years old.', 'Must be a resident of Philadelphia.', 'No criminal charges involving arson or be a registered sex offender.', 'Must be enrolled in an outpatient program or about to enroll in one.']",available,"The Office of Addiction Services offers residential treatment for individuals who are struggling with substance use disorder. Services:- Mandatory outpatient treatment for all residents- 24 hour staff coverage- Random, observed urine drug screening- Accredited training program for recovery house staff- Case management- Ongoing communication between the recovery house and treatment providers, case managers, and probation officersOur services are free however we do not cover food cost.  We do recommend that you be employed or receiving food assistance in order to have accessibility to food. To receive services, please call our Intake Coordinator to begin. We also accept referrals from therapists and counselors.","['English', 'Spanish']",Free,TRUE,https://www.facebook.com/DBHIDS,https://www.twitter.com/@dbhids,"This program covers residents of the following cities: Philadelphia, PA.",,,,FALSE,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,Closed,Closed,0/5,Mental Health
Amputee Peer Mentor Program (Jefferson Health - Magee Rehabilitation),https://www.auntbertha.com//jefferson-health---magee-rehabilitation--philadelphia-pa--amputee-peer-mentor-program/5566200593252352?postal=19131,"['counseling', 'group therapy', 'individual counseling', 'support network', 'one-on-one support', 'peer support']",,"['all ages', 'all disabilities', 'physical disability']",215-587-3205,https://www.jeffersonhealth.org/your-health/classes-and-events/amputation-support-group.html,,,[],available,"Jefferson Health provides a free service that gives individuals with amputations the opportunity to talk with one another. The Peers share their experiences, knowledge, provide emotional support and practical information on everyday concerns. They are living proof that individuals with amputations can recover and continue to have active lives.This program provides:- Peer support- One-on-one supportThe amputee support groups takes place at 12:15 p.m. on the second Tuesday of every month.",['English'],Free,TRUE,https://www.facebook.com/MageeRehab,https://www.twitter.com/@MageeRehab,"This program covers residents of the following counties: Camden County, NJ, Bucks County, PA and Philadelphia County, PA.",,,,FALSE,4:00PM - 8:30PM   ,4:00PM - 8:30PM   ,4:00PM - 8:30PM   ,4:00PM - 8:30PM   ,4:00PM - 8:30PM   ,2:00PM - 8:30PM  ,11:00AM - 8:30PM  ,4.1/5,Mental Health
Mental Health Services (American Living Organ Donor Fund),https://www.auntbertha.com//american-living-organ-donor-fund-%2528alodf%2529--philadelphia-pa--mental-health-services/4533349973098496?postal=19131,"['mental health care', 'virtual support']",,"['all ages', 'all care phases', 'individuals', 'families', 'caregivers']",215-601-6530,https://www.helplivingdonorssavelives.org/services/,,,"['This program helps living organ donors.', 'Must be a US citizen.']",available,American Living Organ Donor Fund provides free mental health services by trained providers to any living donor pre- and post-donation. This program provides:- Mental health care Mental health services are provided via telehealth.,['English'],Free,TRUE,https://www.facebook.com/HelpLivingDonorsSaveLives/,https://www.twitter.com/@HelpOrganDonors,This program covers residents of All US states and territories.,,,,FALSE,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,0/5,Mental Health
